SpeciesUID,CAIS,equal_AA_weight_CAIS
4,1.0611524415678828,1.0476071460157932
5,1.0481480288078426,1.037868197659259
9,1.0732551404508903,1.0562713014093443
12,1.0785694659080878,1.0603509376265703
14,1.0881826661609195,1.067843920170126
15,1.0755793796015303,1.0578938193258076
16,1.0739709668915465,1.056741016579053
18,1.0786298184191379,1.0600051541162345
20,1.073444870130558,1.0562576432500226
22,1.0788372610803358,1.0601065386598139
23,1.089095285479829,1.0701831409309928
25,1.0818538617688032,1.0624087710608505
28,1.0790565592168413,1.0609624879161024
29,1.07646628263147,1.0594154669726397
31,1.088079638193121,1.0675739320088975
35,1.074034645431172,1.05652073091561
36,1.0846671744556098,1.0648393090180164
38,1.080974228814213,1.06251137210642
40,1.082737898028861,1.063858781907841
41,1.0447239434393885,1.0348913827650927
42,1.1121079028515053,1.0885822961628253
43,1.0812579678153411,1.0624852098511888
45,1.074009592675243,1.0565994621873365
46,1.0745084043125952,1.0570057720927404
47,1.0739187434355588,1.056684360465268
49,1.0803198251847181,1.0617400075981431
50,1.0811209958814925,1.0632446927876955
51,1.0815864163480897,1.063063230727729
53,1.0790759035949224,1.0602709037422364
54,1.0787688913687477,1.060607023362907
55,1.0795260956252724,1.058479230209179
57,1.0836030483022716,1.0644953329401148
58,1.0878818325854767,1.0675499320440662
59,1.0799558396561306,1.0609729249414246
60,1.0714204412104458,1.0547190866713576
61,1.0877452403376593,1.0672540390691172
62,1.0786556631028663,1.0615133805367685
63,1.0865142280675884,1.067117296911355
65,1.0780613592480026,1.059241501456635
67,1.0746502708346044,1.0571430964060813
68,1.0752195223490535,1.057677721315642
69,1.078899765020585,1.0611354076426855
72,1.0490011213345953,1.0373286185793285
73,1.0855333622801981,1.0658243735041417
75,1.0806278010583104,1.0628166414922189
76,1.0761281161836536,1.0589855125044638
77,1.0744486993772264,1.0569286982768171
80,1.0743335158200842,1.0568778407850312
82,1.079493940650169,1.0611044716408227
83,1.0877347008989648,1.0677075795812332
84,1.099788621233448,1.0813921071806547
86,1.0424459626349754,1.0329639823126628
87,1.1206401389545173,1.0988074362557327
407,1.075237030977828,1.058476375161067
408,1.0723233571908495,1.0558533832603338
409,1.0791523443669353,1.0611308740053433
410,1.0849335363334032,1.0654130141448392
411,1.0790441544285276,1.061292846393955
412,1.0813076358781277,1.064040737440385
413,1.0806794539078755,1.064225098311301
414,1.0777808956039412,1.0610410190410937
415,1.0815161858553866,1.062293784776823
416,1.0744211008135804,1.0573745077182721
417,1.070070672285038,1.0538706232292583
418,1.0768894954778725,1.0595445090503721
420,1.0807883188178178,1.062506632179322
421,1.084318602624008,1.064953551521787
423,1.0719160207083487,1.0553039124790746
424,1.087018816211712,1.066714429992238
425,1.0811516779371149,1.0624016039367454
427,1.080536229985693,1.0623404277128585
429,1.0812375615827772,1.0614529845585536
430,1.0845902385253325,1.065571173126793
431,1.075465786829616,1.0585378973480675
433,1.0716702981804382,1.0552036573163026
434,1.073809702896689,1.0567632528317081
437,1.0763823918403577,1.0588990190955028
438,1.0792141537099282,1.0615055107685778
439,1.0789456318829869,1.061003908625986
442,1.080327393383026,1.0616411459161608
445,1.0688623266426975,1.0533665442909017
446,1.0699902277864748,1.053642222654916
447,1.0728706422734846,1.056577425908776
450,1.0768611764131628,1.0599162388450387
452,1.094775651941897,1.072758847973084
453,1.0618478726542022,1.047814989850471
455,1.0723333855498272,1.0557616877874347
461,1.0499405001722009,1.0386977543492217
463,1.0528060264508907,1.0411678520551344
467,1.0960431108459263,1.077270598122506
468,1.055988124665416,1.0432077824261021
469,1.0582268490308282,1.0457732377559126
470,1.0478349549454173,1.0382871434880536
471,1.077295287837344,1.059170252626178
472,1.0516598365275291,1.0396562811513015
474,1.0518126827936995,1.039918386201555
475,1.0551778207149292,1.04164561985348
477,1.051440305807469,1.0387347041801471
478,1.1178673063509403,1.0956272002762621
480,1.0553147214022889,1.0431867500841387
481,1.0693627981541867,1.0538509232801156
482,1.0592609327381246,1.045098230101598
483,1.0494394611799702,1.0374700558567194
484,1.0565573051702613,1.0436396902039573
485,1.099368260304355,1.0809773945042327
486,1.085807461335551,1.0680256706873907
488,1.1094931973850015,1.0893136363764737
489,1.0539136638231936,1.0419252796587228
491,1.0546882315686124,1.0418295635142487
492,1.0507754013235722,1.0390016052402726
493,1.1177560288016333,1.1014387137258825
496,1.0463649222942473,1.0360685991894385
497,1.0872698281167403,1.067319504693084
498,1.0504810314129067,1.0387334432809598
499,1.0514862095117672,1.0394989518768933
502,1.0816080733107705,1.0656609181431098
503,1.113396983853345,1.0942016041285123
506,1.06693672773933,1.0520112427419877

