SpeciesUID,CAIS_intergenic,Percent_GC_intergenic
4,1.0565379935670034,0.436639701
5,1.0476224033711463,0.406417308
7,1.0912543211157564,0.414380872
9,1.0686057420324115,0.424322523
12,1.0748176143820372,0.419855344
14,1.0848945372609797,0.424649258
15,1.0706373275264216,0.429462772
16,1.0707325708899385,0.425400138
18,1.0744636048705007,0.424954564
19,1.0173226629967622,0.352695781
20,1.0702675218732587,0.425985208
21,1.0790213689306165,0.414107215
22,1.0799623456667977,0.414107215
23,1.0887929217659615,0.365922487
25,1.081327910824602,0.427226229
28,1.0790272753414456,0.414777345
29,1.0782491842750348,0.412809078
31,1.0838662838052346,0.420323879
35,1.0705959711523576,0.429460513
36,1.0766568498182618,0.439966889
38,1.0818211070803436,0.40633665
40,1.0782463741648014,0.439337669
41,1.0463642081068434,0.405491082
42,1.1144680122399933,0.389919812
43,1.078525142924937,0.416737714
45,1.0708260362714686,0.423558913
46,1.0711019107415192,0.424450823
47,1.069924187565299,0.426675526
49,1.07687877128344,0.440345413
50,1.0776392649412905,0.421054077
51,1.0767453692614704,0.444438692
53,1.0749109499922946,0.438843011
54,1.0808420981317814,0.412522488
55,1.075029644649375,0.440603358
57,1.076122735328264,0.44247932
58,1.0832529679367624,0.434848745
59,1.0752177211190321,0.435313151
60,1.0684374551867535,0.42119351
61,1.0811723709549315,0.446649612
62,1.076491859568953,0.459934917
63,1.0801664911427247,0.458485382
65,1.0736900687061761,0.429296534
67,1.072783047570776,0.418891394
68,1.0764209412457537,0.405614063
69,1.075058794993447,0.428286147
72,1.0481520880698474,0.451373129
73,1.0811703089580809,0.441939065
75,1.0726730903364123,0.447763253
76,1.074512438407853,0.435565133
77,1.070137362710136,0.437298901
79,1.0270758299258018,0.345335871
80,1.0713009844318007,0.426520295
82,1.0809983022534075,0.411996147
83,1.0860522823511547,0.419697549
84,1.106013957655309,0.438951545
86,1.0434057885765662,0.402253539
87,1.1243736736464316,0.384192403
136,1.0398569498289827,0.358566762
137,1.1227268653149864,0.338591834
140,1.0296447641169568,0.465862549
141,1.0409468074133348,0.342000708
143,1.046164032387651,0.324663702
146,1.017368941892422,0.52596479
147,1.0335253087905827,0.300043652
148,1.0283276080581418,0.53338254
152,1.0334018422280569,0.322829896
155,1.040450125571085,0.312806504
157,1.034890179729229,0.318648049
160,1.0562722074878905,0.387068991
167,1.0411742463296916,0.30635815
169,1.041434842994673,0.319276198
173,1.0332091077027452,0.322805239
174,1.04272837249399,0.432883753
175,1.0383831780465202,0.327047764
179,1.0431129563800547,0.325811977
181,1.011032168559125,0.292514946
182,1.0773423080550557,0.380214056
185,1.1469323463673362,0.436320577
189,1.0297600098318729,0.361157507
192,1.0621659259240575,0.358002454
197,1.051155705875021,0.326547341
198,1.1847983155125852,0.37249906
201,1.0438203371272372,0.344903022
203,1.1217406886249426,0.408068608
204,1.1333877075115242,0.368688119
206,1.1395719427147692,0.373470288
212,1.0734670624597236,0.350696953
213,1.115059489401788,0.406645039
215,1.0466385311162045,0.314969288
217,1.0554968046278108,0.292566034
221,1.0225425160093784,0.402982837
222,1.0292880071495558,0.358447093
226,1.0252545803763156,0.353811738
229,1.05564513758942,0.328434164
230,1.0199786096761434,0.324439895
233,1.0452805265145615,0.344895598
237,1.0924982206894556,0.148811663
239,1.1548544692843292,0.636882689
240,1.0964972129501525,0.205496308
242,1.0270779861794062,0.486156813
246,1.1101952974357672,0.572274423
253,1.0597754149956717,0.45962034
257,1.0246886606858359,0.200360486
258,1.0230570272688746,0.210206161
261,1.0099266783042413,0.140883704
269,1.0681287366904202,0.416076153
282,1.0282722025487638,0.420035291
283,1.0670356232486606,0.440447621
284,1.0302617466516255,0.453491576
285,1.0640639941664072,0.491288884
288,1.0581035034140809,0.438013512
289,1.034671157511922,0.314784915

297,1.0118729004135103,0.2624126
300,1.054503239433047,0.329793469
301,1.0488907824652105,0.338911915
305,1.0887007118634535,0.404321997
306,1.023832527632273,0.341358259
307,1.0283044041259184,0.404953443
310,1.0241562042182806,0.345834665
313,1.1464367841021714,0.376073141
314,1.156868382786532,0.406565415
315,1.1364368004987033,0.398638931
316,1.1383847372166682,0.366636841
317,1.1571099936552431,0.382675448
318,1.0828719417072306,0.392059587
320,1.1596691224083093,0.388732762
322,1.1510131567230353,0.381170929
324,1.136095097960475,0.376585633
326,1.1344315474908635,0.385380948
327,1.173131610251508,0.380898543
329,1.032717783112581,0.406981609
330,1.012032671492288,0.367633108
331,1.04462148747841,0.320250207
334,1.031633562525193,0.275906663
336,1.0410608657314193,0.357491067
337,1.0382022850932953,0.359843625
339,1.0653193360131876,0.340731399
340,1.014173936017696,0.29540878
341,1.0692725998896138,0.301727272
343,1.0345896104076497,0.32706601
345,1.0274683447045565,0.454359325
346,1.0394831475439907,0.325801659
348,1.0390822811050222,0.32244319
349,1.0203061297816958,0.289298388
351,1.0235158834557971,0.33920535
352,1.0616895581758874,0.436146061
354,1.018368252954375,0.353081574
355,1.0510401755000893,0.376755973
356,1.0181474804712143,0.338868915
357,1.0213806388743782,0.331176109
360,1.0420144143208805,0.411602381
361,1.041394716604204,0.383016555
363,1.0334900534471876,0.36295273
365,1.0333755581840736,0.320952391
366,1.0323106089021175,0.343163832
367,1.035411952309276,0.321692818
368,1.0353229867391727,0.282767559
370,1.0334902460779622,0.325066004
371,1.0313992981228406,0.307155634
373,1.025584705506051,0.339249425
374,1.0295081973254114,0.385944504
375,1.0298916648861407,0.360586667
376,1.0327306693527538,0.373016095
377,1.0316886911792436,0.329557543
378,1.031905024783471,0.328611709
381,1.0379420839975988,0.30008337
383,1.0267024714472544,0.367687882
385,1.1599531285103406,0.633349832
386,1.032986821442672,0.31467348
387,1.0366666468173351,0.326782513
388,1.0373742525493608,0.371725212
389,1.0360382641107972,0.380060941
390,1.0358038865944148,0.381186551
391,1.0362913704249175,0.379335107
392,1.0382795838911076,0.431360271
393,1.079405103400006,0.601798181
394,1.0351716625157166,0.383804135
395,1.0428914421905924,0.300993435
396,1.0353606510255355,0.361680174
397,1.0354921971351227,0.360440434
398,1.030002218106249,0.362064532
399,1.0445229293690037,0.326007272
400,1.0390651063175256,0.31523995
402,1.033755162508076,0.322496538
403,1.0318311686483812,0.365169885
404,1.0426333663968412,0.342799569
405,1.0382479769845343,0.305457028
407,1.0693570601170175,0.433508894
408,1.0680240210753527,0.432283502
409,1.076267969418345,0.433269521
410,1.078181978985475,0.43562197
411,1.0798821559387795,0.414322105
412,1.0804889688710304,0.41465329
413,1.0795852619732558,0.415479095
414,1.0778076745484488,0.411124773
415,1.0777015940675783,0.412033831
416,1.0708685187466704,0.42625533
417,1.0653399661938692,0.423985011
418,1.0715264470183743,0.433529251
420,1.075375406104406,0.426920951
421,1.076439119698851,0.456917327
423,1.0707098115073646,0.412991505
424,1.081334999070768,0.43633954
425,1.0759645061318144,0.433093334
427,1.0746680199743164,0.434301147
429,1.0780016134783164,0.415523262
430,1.0765920140526368,0.45302943
431,1.0704332549459403,0.434584643
433,1.0672194472221002,0.439908484
434,1.0675153836329108,0.447973051
437,1.071532823169087,0.435878517
438,1.0734837493036984,0.435474006
439,1.0733793552522903,0.440142432
442,1.0704701947734134,0.449819655
445,1.0658908425609406,0.428889127
446,1.0711340100585038,0.405222028
447,1.0670313306458445,0.416135574
450,1.0763273378051323,0.401524129
452,1.0873122029382536,0.456560862
453,1.0573855417045357,0.428037068
455,1.0696782732209447,0.428577544
459,1.0504037066612917,0.463580117
461,1.047947107558629,0.430056014
463,1.0520958116744819,0.421319827
467,1.1011434886311953,0.382810299
468,1.055019235979049,0.433991542
469,1.0561952010480171,0.431786391
470,1.0488978075122284,0.417211203
471,1.0759201627452943,0.424599119
472,1.0512640748451887,0.420700574
474,1.050939481137542,0.428431134
475,1.0549429000544213,0.440400987
477,1.049757916251365,0.453944995
478,1.1317117472543528,0.418384029
480,1.052620740052578,0.43020452
481,1.0664857560665677,0.429755392
482,1.0581349417224708,0.420692439
483,1.0489450877072735,0.452873594
484,1.0551507340826907,0.430013167
485,1.106007226419298,0.370756869
486,1.0874883618468194,0.367567573
488,1.119113471066171,0.409030075
489,1.051876925040119,0.438017333
491,1.0525757717340682,0.43687022
