SpeciesUID,Mean_gene_GC,gene_GC_variance
4,0.507231313730201,0.00657316930578104
5,0.492315134220305,0.00510750292284294
9,0.517440503401525,0.00651945269461553
12,0.513758689898574,0.00632472128677135
14,0.529108661558649,0.00609568865135699
15,0.519538782838592,0.00685032227449919
16,0.519680630970594,0.00678128587600521
18,0.526648603455581,0.00725623284939341
19,0.424884846379094,0.00125430027635649
20,0.515438637340845,0.00626793999961602
22,0.508962808499233,0.00378490176199272
23,0.496946976917147,0.00198880003136815
25,0.527323096311072,0.00650010702825542
28,0.516763465683087,0.00733172452118867
29,0.531454730560559,0.00721722007962057
31,0.520617854569163,0.00590665227177445
35,0.518125716438595,0.00674016905268005
36,0.523238097720707,0.00704403588445431
38,0.525375703258714,0.0068355967369299
40,0.528399968909206,0.0054468277880301
41,0.467991867785195,0.0025725443441157
42,0.531697753387632,0.00493358112122912
43,0.519156199493897,0.00625061194888432
45,0.517809581617218,0.00665264899414277
46,0.519712668317084,0.00677592282465964
47,0.514077807597886,0.00619858587302033
49,0.526231488745497,0.00455141016665767
50,0.530376258283383,0.00791716267593027
51,0.527186533429603,0.00390486138579908
53,0.523635986118068,0.00402895794174824
54,0.514981283451212,0.00436635284718045
55,0.525420688641278,0.00415516007402772
57,0.532667577295203,0.00711382938556259
58,0.536488655911162,0.0067769036677416
59,0.518948508086816,0.00490841558393188
60,0.514351834626266,0.00660491950422021
61,0.530175021708771,0.00590763951785298
62,0.54380923436447,0.0067897810709342
63,0.542882007766794,0.00765967587946106
65,0.518522096913691,0.00575857120105674
67,0.516655382057383,0.00655406517249649
68,0.520336998095521,0.00695083812389578
69,0.531725101630294,0.00729968533930821
72,0.493538203517635,0.00603250841637737
73,0.529982394447573,0.00464785684553381
75,0.531281090560012,0.00731683780281567
76,0.518102769314236,0.00405567651699988
77,0.519354197602668,0.00647301327415773
79,0.402355248264042,0.00117337997214317
80,0.517286206506919,0.00653453037404326
82,0.528831903400106,0.00726691231058833
83,0.521453751523966,0.00609791023602108
84,0.540988055113166,0.00186191470467976
86,0.46759919345989,0.00269016036739626
87,0.534855953426151,0.00258245464500941
136,0.460890135301533,0.00179851330049263
137,0.42395870035779,0.000132881228793142
140,0.54130559841066,0.00797080214514076
141,0.461880070837121,0.0013802266422235
143,0.465737964331876,0.00129358407237261
146,0.538649357540281,0.00478700687986425
147,0.440167048544121,0.00139473322361837
148,0.558950241904855,0.00246045243604304
152,0.437584933810899,0.000936854050238269
155,0.424961785769584,0.00116720005327553
157,0.406463365731441,0.00125292768216886
160,0.546314750559422,0.00905615525491297
167,0.443927804515264,0.00220897596230182
169,0.437702546090707,0.000708822787986007
173,0.418184992793995,0.00116185892319125
174,0.553574283768913,0.00926709056576862
175,0.440006510344492,0.000950628119712763
179,0.455815118286191,0.00190743948527927
181,0.386832273654868,0.00638442633806959
182,0.501966353126122,0.00195463095128935
185,0.55765337376441,0.00335122036329588
189,0.474830793519955,0.00579586391852936
192,0.443483523554666,0.00219517890874394
197,0.452940555995505,0.0014733510645482
198,0.554567786747144,0.00210984121299751
201,0.458799270834896,0.0031144690396313
203,0.548615608301629,0.00236444144662662
204,0.513220477818907,0.0018057596008971
206,0.521593625016714,0.00301258195035534
212,0.466446802221467,0.00166190602749125
213,0.542654950374973,0.00265112673423222
215,0.430789010406522,0.00208491016797165
217,0.390168603782173,0.0016144334760643
221,0.472025150680269,0.00203689441322048
222,0.402706063847051,0.00154147325130663
226,0.449778461811339,0.0047594215543427
229,0.464274929761463,0.00352577048364315
230,0.379361947034091,0.000711788511345931
233,0.488033752083565,0.00188791653104685
237,0.285357253620736,0.0022261000815152
239,0.683454953580556,0.00156466302301858
240,0.290392062566487,0.00120324540523322
242,0.500813577055066,0.00177858598057836
246,0.610944725255926,0.0011470482845824
253,0.539415178128931,0.00118938554465539
257,0.255887947366079,0.00143245221951313
258,0.268989896455152,0.00139135477937314
261,0.258252987864316,0.00157196407284732
269,0.44661126495927,0.00415016762556626
282,0.508233968136642,0.00100690563831899
283,0.558107760303318,0.00190264400288945
284,0.523113959926803,0.000912644871224071
285,0.570821618937345,0.00185814523946183
288,0.518233337296409,0.000716281513619424
289,0.40122888229772,0.00109495268513226
297,0.385870625494676,0.00725725311503466
300,0.448494924663755,0.00238587911139683
301,0.441425948577386,0.00204069224612859
305,0.52978068585528,0.00181658435317487
306,0.438295322375974,0.00550116965158082
307,0.463708871119868,0.00407752060529123
310,0.443978885786693,0.00286624855862106
313,0.526492781146076,0.00282104708538075
314,0.564264552991364,0.00309447261438253
315,0.537899281731101,0.00338211956571806
316,0.504420933113431,0.00241459629509008
317,0.553496864837934,0.00283384659778248
318,0.518026915288491,0.00259052713609751
320,0.548795257023013,0.00246846785168854
322,0.528470638023771,0.00284334618439463
324,0.541532813800005,0.00318609934331864
326,0.540672946984541,0.0030179962444558
327,0.551291392772609,0.00337670540354531
329,0.49375600068589,0.00136518865056732
330,0.415578423973379,0.00695083956632233
331,0.433306061067063,0.00139799708129299
334,0.342837008139611,0.000853410540564188
336,0.458004275374195,0.00570322691124916
337,0.461757830697836,0.000968339249794935
339,0.438290643438822,0.00156333529694509
340,0.39427261665377,0.00624901030953743
341,0.464339823597292,0.00350354367955946
343,0.38253600264474,0.00257057292535169
345,0.487278320702211,0.00660797498470058
346,0.470572176590716,0.00788024902787562
348,0.458397123235504,0.00986460354536132
349,0.388213370415516,0.00167299075970731
351,0.441128323616935,0.00495806371630858
352,0.52874758584482,0.00394884219526571
354,0.418898208924703,0.00113808205058845
355,0.434577965234827,0.00140524907310245
356,0.43847963061008,0.00407253175088313
357,0.441395247254879,0.00421140155354508
360,0.48718125737147,0.00497095009928734
361,0.473070470170224,0.00484988171524242
363,0.505144558107073,0.00592156603896359
365,0.446658242597333,0.00101339394730838
366,0.42137679073781,0.00100963029822576
367,0.444327983698761,0.00137988062550799
368,0.411752763750628,0.0012153856361238
370,0.436405866380777,0.00109021517846502
371,0.436593272280145,0.00120059587197028
373,0.463773053262075,0.00235126145669259
374,0.487876009059684,0.00376785839306381
375,0.455321068981946,0.00114225636485159
376,0.455808467782678,0.00177347910771848
377,0.437629217286565,0.000967070865285854
378,0.436907545625945,0.00102238409578261
381,0.423043833817888,0.000909760334743118
383,0.422628621767094,0.00150932856066917
385,0.661165339572483,0.00381996668796579
386,0.456551794721981,0.00191503392381895
387,0.468499413473936,0.00216943159890808
388,0.450866148549882,0.00147511519050426
389,0.423484210301986,0.00106903942958986
390,0.424839109479779,0.00105319851185816
391,0.425075510102612,0.000997991610104199
392,0.546342170400576,0.00955849507712136
393,0.601009693374907,0.00195397886090711
394,0.492841723712816,0.0048562124863618
395,0.438898920691611,0.000719433601392172
396,0.450210834020729,0.00150623583746398
397,0.452813952394834,0.00151218416456894
398,0.463310137171568,0.00171488629068477
399,0.463982332581808,0.00133256443850348
400,0.428290664696817,0.000899076359881261
402,0.418662130009201,0.00109812262636822
403,0.430317023669196,0.0010191243049845
404,0.487360775260357,0.00166202823997074
405,0.440743798372913,0.00187459433845905
407,0.528837749421378,0.00700340188545722
408,0.522222236258005,0.00652026029382511
409,0.530482263858119,0.0067841533092801
410,0.528789256891615,0.00648451791544876
411,0.533526497034171,0.00727723840487733
412,0.530894604122674,0.00597244403682673
413,0.529742716243553,0.00595190957102144
414,0.5280167942501,0.00565534465620384
415,0.517516218522909,0.00603746833076942
416,0.528128245649018,0.00706292845478333
417,0.513249936293188,0.005772559571846
418,0.531043260608327,0.0075996850037923
420,0.524230296604481,0.00632617428006065
421,0.542211287461803,0.00769154138642249
423,0.520434520123844,0.00629547962293325
424,0.532650543155007,0.0074763932152086
425,0.533917609620386,0.00638118696321533
427,0.536752618174592,0.0072725156201082
429,0.516135520565991,0.00630663742284977
430,0.532937422146901,0.00509676013177824
431,0.525672967814596,0.00622028626403988
433,0.523442102430943,0.00652817164624871
434,0.526441390649245,0.00664476389283698
437,0.531041164406651,0.00714474828354441
438,0.529736713973042,0.00694017522827266
439,0.537695106616262,0.00732310090901099
442,0.540002284218869,0.00761183108370552
445,0.528975923056197,0.00742732008239016
446,0.518735139974624,0.00699074743314559
447,0.520157062949752,0.00698160166037075
450,0.527687093543682,0.00733327873175288
452,0.549865451497733,0.00893642348198388
453,0.507793527457775,0.00669333871439778
455,0.519772405498591,0.00596242831193039
459,0.50239438570865,0.00654737354274943
461,0.487731571196641,0.00509950559971533
463,0.488575126329382,0.00368510413422987
467,0.520080786979387,0.00282118850642174
468,0.494759511500193,0.00413975730872409
469,0.513567112071536,0.00585357746224949
470,0.491875168565069,0.00346812717694044
471,0.500759635805311,0.00479985123221433
472,0.483919406279271,0.00413811581088752
474,0.496567612841873,0.00499976333484214
475,0.496157621163089,0.00532542409754846
477,0.498515080334697,0.00587850533614553
478,0.546810957391603,0.00276031036267631
480,0.498787054199036,0.00499968093801104
481,0.50180649610909,0.0049916025321632
482,0.506700040030161,0.00543806190297005
483,0.486939844173798,0.0050405414343174
484,0.50129162374795,0.00500636859319106
485,0.521212279293382,0.00217937952005226
486,0.501092579202267,0.00212476604482366
488,0.538323554597886,0.00222948237031166
489,0.495079228594019,0.00402871293045726
491,0.494261180700678,0.00541473765644173
492,0.482205251486906,0.0042345872618307
493,0.549414332033113,0.00271116340433658
496,0.506383876948737,0.00473221742591303
497,0.515870398955542,0.00534568845626612
498,0.470953105323113,0.00315926563281677
499,0.500305319620794,0.00609391075479667
502,0.514194375232214,0.00209173838657453
503,0.532930200088031,0.00171729627922977
506,0.512200921895392,0.00632442589256812
510,0.5194833403515,0.00180608312123564
511,0.501554950479795,0.00523950544476839
515,0.520305392022584,0.00177533166840564
516,0.487982769778747,0.00422283864315978
518,0.528536215413281,0.00158488135587012
520,0.508414733234898,0.00643443311975813
522,0.494543011963557,0.00438407576553331
526,0.477487704809957,0.00327960016303979
527,0.515487584008152,0.00523916572374866
528,0.539109722541652,0.00255700108368353
531,0.525898452862586,0.00711879256035464
532,0.486681187746278,0.00437891221631881
534,0.521616124627279,0.00212843380516637
535,0.488194017856683,0.00442109159951271
536,0.545101016809332,0.0016848316280292
538,0.514927095701931,0.00548759830633168
539,0.532961361486878,0.00173713657881903
540,0.507533061611191,0.00180583397658671
541,0.50589711055261,0.00189643238126263
542,0.507518993799001,0.00186236375031656
543,0.545001565052959,0.00194288589825045
545,0.516858418113392,0.00618695482015693
546,0.490703950581623,0.00446715649089262
547,0.471661699504103,0.00504621666527175
548,0.472174902308285,0.00326880139446848
549,0.463045515995279,0.00188420688082124
550,0.509035435954479,0.00457908094008074
